,sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
169,91717,10878,0.355643628,0.002386796,0.98324203,0.967036461,0.97894638,1,0.934220713,0.876561146,0.917784435,0.970525335,0.429577247,0,0,0,0,390.9158733,256.3381668,1.525000659,0.662841314,0,0,0,0
170,112061,10056,0.129977787,0.000609286,0.99730595,0.994626377,0.996657267,1,0.9783793,0.957673724,0.972337615,0.984994064,0.811475275,0,0,0,0,49.80540725,36.62045845,1.360043248,0.197122019,0,0,0,0
171,99352,10126,0.239552518,0.000826341,0.975191646,0.951584403,0.969846546,1,0.936778355,0.881075323,0.921504414,0.979204817,0.78432827,0,0,0,0,38.00366605,26.4339354,1.437684759,0.227469671,0,0,0,0
172,126554,10580,0.247678123,0.001788777,0.998083046,0.996173428,0.997497909,1,0.953018766,0.910253913,0.940723507,0.975731864,0.440762295,0,0,0,0,376.133447,269.0352316,1.398082492,0.151218644,0,0,0,0
173,127611,10445,0.447675165,0.003286755,0.98889608,0.978036045,0.98579241,1,0.956336901,0.916327214,0.944689574,0.973759498,2.04E-15,0,0,0,0,775.016563,455.6215441,1.701009474,0.023185718,0,0,0,0
174,20963,11414,0.254265517,0.000664092,0.991666667,0.983471074,0.989200158,1,0.944518965,0.894870617,0.930346685,0.974182297,0.15566657,0,0,0,0,572.0839448,480.1345904,1.191507457,0,0,0,0,0
175,90262,10131,0.1439241,0.000664358,0.99898992,0.997981878,0.998761322,1,0.980344037,0.961445893,0.974850649,0.98411635,0.829622457,0,0,0,0,46.13380812,34.44648084,1.339289442,0.064620355,0,0,0,0
176,19977,10781,0.226988599,0.004161451,0.9904482,0.981077147,0.988539231,1,0.959407396,0.921981756,0.948604532,0.977056416,0.568212098,0,0,0,0,717.5776758,611.1480326,1.174147076,0,0,0,0,0
177,108202,10740,0.199017493,0.000600411,0.988232122,0.976737988,0.985432284,1,0.959541352,0.922229206,0.948642739,0.973860833,0.000532534,0,0,0,0,534.2222283,347.3514044,1.537987817,0.018923266,0,0,0,0
178,88608,10165,0.14672269,0.00143943,0.989425163,0.979071639,0.986917417,1,0.964300424,0.931061908,0.954467535,0.970669989,0.768009374,0,0,0,0,69.77193912,50.68491249,1.376582018,0.069217838,0,0,0,0
179,21059,11445,0.132746088,0.001235653,0.975271092,0.951735708,0.970532934,1,0.926778036,0.863547399,0.908274005,0.961766302,1.74E-20,0,0,0,0,841.0479329,533.4174277,1.576716262,0.034230945,0,0,0,0
180,110168,10095,0.874968107,0.003816396,0.985554741,0.971520871,0.982601584,1,0.963529665,0.929625896,0.953695622,0.977140739,0.798868543,0,0,0,0,61.77006755,44.04926414,1.402295106,0.202247191,0,0,0,0
181,20011,10846,0.351976418,0.002498093,0.997170566,0.994357098,0.996489196,1,0.956182839,0.916044375,0.944542428,0.974717889,4.47E-05,0,0,0,0,595.7380121,518.5441824,1.148866446,0,0,0,0,0
182,104785,10779,0.133294305,0.000741765,0.993536129,0.987155284,0.991904405,1,0.949780812,0.904364369,0.93654746,0.971254714,0.442099472,0,0,0,0,618.3743792,401.99616,1.538259418,0.048383975,0,0,0,0
183,86972,10876,0.13886726,0.001468888,0.99176683,0.983668122,0.990090324,1,0.971362808,0.944320131,0.963456651,0.976492769,0.437780065,0,0,0,0,652.6302072,447.011147,1.459986427,0.045840018,0,0,0,0
184,86722,10885,0.324269938,0.004927701,0.97885325,0.958582349,0.973417042,1,0.952893253,0.910024938,0.940732128,0.978722643,0.389102874,0,0,0,0,499.0426753,378.7202421,1.317707954,0.27578599,0,0,0,0
185,87563,10329,0.186898539,0.002127423,0.991710016,0.98355635,0.989593378,1,0.966249268,0.934702379,0.956978139,0.973615787,0.439679449,0,0,0,0,603.5960528,438.3003651,1.377128793,0.153315447,0,0,0,0
186,130759,10137,0.165593654,0.001245836,0.999214394,0.998430021,0.999019595,1,0.977975597,0.956900437,0.971863856,0.99035787,0.820795783,0,0,0,0,61.44887369,44.64655534,1.376340755,0.04503693,0,0,0,0
187,97994,10584,0.153956834,0.000609676,0.996317526,0.992662075,0.995292326,1,0.965252237,0.932838197,0.955746279,0.974179144,0.624099307,0,0,0,0,566.569955,485.7098152,1.166478291,0,0,0,0,0
188,87646,10496,0.221944373,0.001108445,0.991976851,0.98408142,0.989983365,1,0.957771338,0.918964689,0.946509254,0.975080509,0.466804813,0,0,0,0,549.0324572,405.5786787,1.353701479,0.009752292,0,0,0,0
189,92554,10133,0.102624705,0.00118359,0.999428185,0.998857024,0.999267032,1,0.974785367,0.950811016,0.96773996,0.977306649,0.807236342,0,0,0,0,56.69672989,38.27442899,1.481321378,0.197458791,0,0,0,0
190,97092,10279,0.127008526,0.00034327,0.999938983,0.999877974,0.9999249,1,0.979350946,0.959537406,0.973605665,0.989632802,0.122517529,0,0,0,0,545.817047,408.8157777,1.335117373,0.073099415,0,0,0,0
191,93549,10474,0.199777151,0.001326245,0.989544773,0.979305908,0.986831577,1,0.961147929,0.925201919,0.95039713,0.965473868,0.38819119,0,0,0,0,503.2225531,329.7223564,1.526200888,0.065475634,0,0,0,0
192,112694,10632,0.187344349,0.001441256,0.988223145,0.976720449,0.985528398,1,0.96394221,0.930394249,0.954171414,0.976070523,0.100630538,0,0,0,0,368.2874734,254.8115259,1.445332867,0.138622308,0,0,0,0
193,82492,10046,0.112007862,0.001142093,0.993466287,0.987017398,0.991857472,1,0.955667457,0.915098799,0.943625855,0.967698046,0.781936058,0,0,0,0,42.98688487,29.42196906,1.461047178,0.060289389,0,0,0,0
194,21085,11456,0.124307049,0.000376523,0.99344139,0.986968249,0.991482777,1,0.947937134,0.901027081,0.934433965,0.973571885,0.377240539,0,0,0,0,597.1617905,400.8910479,1.489586244,0.100485681,0,0,0,0
195,92927,10417,0.102760525,0.000590382,0.999981964,0.999963929,0.999977126,1,0.969054082,0.939965972,0.960590469,0.977811641,0.460774151,0,0,0,0,388.3122159,271.1116844,1.432296128,0.311438279,0,0,0,0
196,93734,10092,0.166930693,0.002190697,0.990281386,0.980749856,0.987773082,1,0.957462926,0.918397004,0.946254547,0.977856271,0.802300555,0,0,0,0,49.20494153,38.81175674,1.267784446,0.100289726,0,0,0,0
197,127542,10115,0.298566521,0.00057774,0.989845437,0.979895031,0.987715623,1,0.97448785,0.950245055,0.967372819,0.97500848,0.836410254,0,0,0,0,71.5567753,53.79579247,1.330155613,0.063965885,0,0,0,0
198,20974,11415,0.403993606,0.000797104,0.988775884,0.977800933,0.986623001,1,0.951000846,0.90657923,0.938140215,0.973312026,1.94E-07,0,0,0,0,194.8625482,199.2636659,0.977913095,66.31288766,0,0,0,0
199,99604,10633,0.219567089,0.000684804,0.984841763,0.970136208,0.981080448,1,0.951069478,0.90670398,0.937993485,0.968567284,1.41E-05,0,0,0,0,777.7492619,553.1881905,1.405939742,0,0,0,0,0
200,94276,10957,0.101319491,0.000830019,0.981178146,0.963051728,0.976005033,1,0.951711154,0.907871106,0.939177075,0.976546118,0.363233586,0,0,0,0,511.5557355,328.0267214,1.559494097,0.111263266,0,0,0,0
201,87804,10026,0.156969769,0.001543304,0.99600039,0.992032647,0.995040632,1,0.968106594,0.938184689,0.959226834,0.968846611,0.783442526,0,0,0,0,61.09308481,41.82621738,1.460640924,0.14968566,0,0,0,0
202,89377,10624,0.1240896,0.000902066,0.980870687,0.962459499,0.976340102,1,0.962397947,0.927521244,0.95234198,0.978384015,0.480608614,0,0,0,0,441.8363666,306.0119178,1.443853461,0.06976976,0,0,0,0
203,86924,10035,0.201705217,0.001892078,0.946052689,0.897628068,0.936593238,1,0.925864726,0.861962872,0.908493639,0.97647662,0.734082027,0,0,0,0,40.2711706,31.05575854,1.296737626,0.054507795,0,0,0,0
204,122801,10670,0.16433912,0.00087402,0.992319456,0.984755994,0.990176107,1,0.967969451,0.937927131,0.959132068,0.973488406,0.412013968,0,0,0,0,547.0742785,385.0676338,1.420722571,0.363009347,0,0,0,0
205,131224,10434,0.107208143,0.000458946,0.990577853,0.981331603,0.988320454,1,0.968141642,0.938250521,0.959364757,0.974271226,0.000455627,0,0,0,0,478.2725129,311.933498,1.533251529,0.117347937,0,0,0,0
206,139272,10109,0.187863477,0.001310427,0.992129914,0.984382737,0.990225894,1,0.970142326,0.942015922,0.961787648,0.974877035,0.813222785,0,0,0,0,58.27984343,40.9186257,1.424286433,0,0,0,0,0
207,106039,10626,0.176243767,0.001047001,0.983183432,0.966923104,0.978893154,1,0.946881743,0.899121951,0.933387059,0.977280009,0.000182713,0,0,0,0,555.5129621,387.5891635,1.433252047,0.028571429,0,0,0,0
208,95116,10891,0.161127412,0.001863366,0.981532148,0.96373405,0.9768361,1,0.948340186,0.901755656,0.935302467,0.979793732,0.203649378,0,0,0,0,547.8806893,441.3457197,1.241386661,0,0,0,0,0
209,90077,10627,0.210378465,0.004196358,0.958592905,0.920478561,0.949255641,1,0.900092175,0.818334186,0.879281667,0.977122057,0.319751068,0,0,0,0,466.6158927,314.3202851,1.484523637,0.029066951,0,0,0,0
210,20941,11403,0.209626276,0.000967119,0.99393427,0.987941682,0.992374889,1,0.969988107,0.941725152,0.961595319,0.973482022,1.77E-06,0,0,0,0,760.9354099,484.7445668,1.569765732,0.181340103,0,0,0,0
211,20325,11128,0.106910771,0.001221042,0.979531739,0.959884572,0.975227051,1,0.931822958,0.872348797,0.915237912,0.974069638,0.391453105,0,0,0,0,431.9809403,264.692169,1.632012545,0.155827966,0,0,0,0
212,105860,10641,0.103126299,0.000719679,0.990736511,0.981643072,0.988360117,1,0.954859419,0.913618164,0.942981052,0.975975311,0.351015777,0,0,0,0,550.3716078,359.7993665,1.529662526,0.017992083,0,0,0,0
213,129720,10607,0.096466603,0.00085124,0.979901498,0.960594979,0.975725891,1,0.961766206,0.926348393,0.951496993,0.976673122,0.0502681,0,0,0,0,435.7530181,313.2786331,1.390943946,0.078475336,0,0,0,0
214,126903,10112,0.143234773,0.000552468,0.999871151,0.999742334,0.99983748,1,0.976897285,0.954837935,0.970447552,0.978413331,0.820972133,0,0,0,0,53.37946453,41.94141716,1.272714852,0.057814608,0,0,0,0
